City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
147,Bredasdorp,ZA,-34.5322,20.0403,59.29,88,0,3.29,2022-04-21 20:00:19
148,Tahoua,NE,14.8888,5.2692,89.85,11,55,5.3,2022-04-21 20:00:21
149,Loa Janan,ID,-0.583,117.095,73.29,99,94,0.6,2022-04-21 20:00:22
150,Saint-Pierre,RE,-21.3393,55.4781,76.68,82,0,5.75,2022-04-21 19:57:50
151,Iwanai,JP,42.9744,140.5089,52.16,69,100,7.2,2022-04-21 20:00:23
152,Saskylakh,RU,71.9167,114.0833,0.05,99,100,4.72,2022-04-21 20:00:24
153,Luzhou,CN,28.8724,105.4405,70.81,75,100,5.35,2022-04-21 20:00:24
154,Mabaruma,GY,8.2,-59.7833,77.2,91,100,5.39,2022-04-21 20:00:25
155,College,US,64.8569,-147.8028,42.91,43,55,1.01,2022-04-21 20:00:25
156,Tuktoyaktuk,CA,69.4541,-133.0374,5.38,89,76,6.13,2022-04-21 20:00:26
157,Ormara,PK,25.2088,64.6357,79.39,82,11,12.21,2022-04-21 20:00:26
158,Mbour,SN,14.422,-16.9638,75.67,54,25,19.01,2022-04-21 20:00:26
159,Kapaa,US,22.0752,-159.319,76.12,82,100,4.0,2022-04-21 19:57:50
160,Saint George,US,37.1041,-113.5841,84.63,14,0,8.01,2022-04-21 19:57:29
161,Atar,MR,20.5169,-13.0499,82.65,9,30,11.61,2022-04-21 20:00:27
162,Gao,ML,16.6362,1.637,90.0,5,61,9.82,2022-04-21 20:00:28
163,Makungu,TZ,-8.7333,35.2833,61.84,98,100,1.54,2022-04-21 20:00:28
164,Bira,RU,49.0,132.4667,41.11,90,100,2.08,2022-04-21 20:00:29
165,Coahuayana,MX,18.7333,-103.6833,90.99,36,0,8.21,2022-04-21 20:00:29
166,Tagusao,PH,9.1924,117.8141,79.68,83,18,4.14,2022-04-21 20:00:30
167,Vallentuna,SE,59.5344,18.0776,51.67,65,0,9.22,2022-04-21 20:00:30
168,Lavrentiya,RU,65.5833,-171.0,23.56,85,11,4.83,2022-04-21 20:00:31
169,Pisco,PE,-13.7,-76.2167,71.02,80,94,7.99,2022-04-21 20:00:31
170,Boende,CD,-0.2167,20.8667,72.12,95,100,1.68,2022-04-21 20:00:31
171,Barrow,US,71.2906,-156.7887,6.46,89,88,14.18,2022-04-21 19:58:14
172,Mangrol,IN,21.1167,70.1167,81.34,71,3,12.64,2022-04-21 20:00:32
173,Lompoc,US,34.6391,-120.4579,68.58,70,100,14.0,2022-04-21 19:57:46
174,Bowen,AU,-20.0167,148.2333,75.18,80,100,25.5,2022-04-21 20:00:33
175,Puri,IN,19.8,85.85,82.92,87,100,20.51,2022-04-21 20:00:15
176,Roma,US,43.2128,-75.4557,53.96,84,100,8.99,2022-04-21 19:57:59
177,Thap Than,TH,15.4606,99.8917,81.72,73,92,4.85,2022-04-21 20:00:33
178,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,73,40,8.05,2022-04-21 19:57:57
179,Anloga,GH,5.7947,0.8973,80.47,77,100,8.75,2022-04-21 20:00:34
180,Longyearbyen,SJ,78.2186,15.6401,28.24,93,75,8.05,2022-04-21 19:59:22
181,Altamira,BR,-3.2033,-52.2064,76.87,92,94,1.74,2022-04-21 20:00:34
182,Taoudenni,ML,22.6783,-3.9836,85.96,7,57,9.35,2022-04-21 20:00:35
183,Pevek,RU,69.7008,170.3133,13.21,94,32,9.24,2022-04-21 19:58:27
184,Sanok,PL,49.5557,22.2056,47.05,100,100,5.08,2022-04-21 20:01:36
185,Tuatapere,NZ,-46.1333,167.6833,47.1,81,100,13.11,2022-04-21 20:01:36
186,Upernavik,GL,72.7868,-56.1549,16.16,71,99,4.85,2022-04-21 20:01:36
187,Bethel,US,41.3712,-73.414,57.69,54,99,15.01,2022-04-21 20:01:36
188,Santa Cruz,BO,-17.8,-63.1667,89.06,58,40,14.97,2022-04-21 19:59:26
189,Gourcy,BF,13.2167,-2.35,94.42,26,80,8.34,2022-04-21 20:01:37
190,Tilichiki,RU,60.4667,166.1,12.58,93,100,7.23,2022-04-21 20:01:37
191,Portoferraio,IT,42.8115,10.3146,59.07,88,100,22.53,2022-04-21 20:01:38
192,Suleya,RU,55.1352,58.8792,29.7,88,9,3.96,2022-04-21 20:01:38
193,Jumla,NP,29.2747,82.1838,51.85,87,100,1.9,2022-04-21 20:01:38
194,Mindelo,CV,16.8901,-24.9804,72.95,68,75,17.27,2022-04-21 20:01:39
195,Sorong,ID,-0.8833,131.25,78.64,84,100,5.35,2022-04-21 20:01:39
196,Imbituba,BR,-28.24,-48.6703,72.19,77,51,9.95,2022-04-21 20:01:39
197,Salamina,GR,37.9643,23.4965,63.77,68,20,3.44,2022-04-21 20:01:40
198,Nova Petropolis,BR,-29.3764,-51.1144,73.53,69,100,1.66,2022-04-21 19:57:53
199,Hyeres,FR,43.1167,6.1167,60.48,72,0,4.61,2022-04-21 19:59:25
200,Hvolsvollur,IS,63.7533,-20.2243,47.07,68,67,5.06,2022-04-21 20:01:40
201,Moshny,UA,49.5147,31.7476,41.47,91,100,8.7,2022-04-21 20:01:41
202,Airai,TL,-8.9266,125.4092,59.97,88,70,3.13,2022-04-21 20:01:41
203,Samarai,PG,-10.6167,150.6667,81.66,79,94,10.74,2022-04-21 20:01:41
204,Igarka,RU,67.4667,86.5833,-0.4,99,100,6.13,2022-04-21 20:01:42
205,Port Elizabeth,ZA,-33.918,25.5701,64.31,91,40,17.27,2022-04-21 19:58:05
206,Mehamn,NO,71.0357,27.8492,37.31,96,100,17.22,2022-04-21 19:58:49
207,Pangai,TO,-19.8,-174.35,75.31,88,75,4.61,2022-04-21 19:58:11
208,Luwuk,ID,-0.9516,122.7875,78.04,86,78,2.51,2022-04-21 20:01:42
209,Tessalit,ML,20.1986,1.0114,87.84,12,1,10.04,2022-04-21 20:01:43
210,Werda,BW,-25.2667,23.2833,67.64,59,100,9.15,2022-04-21 20:01:43
211,Port Hardy,CA,50.6996,-127.4199,46.8,72,41,2.26,2022-04-21 20:00:45
212,Beringovskiy,RU,63.05,179.3167,25.14,91,100,4.25,2022-04-21 20:01:14
