City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
545,Anloga,GH,80.65,overcast clouds,5.7947,0.8973,Pin Drop Hotel
546,Loiza,PR,79.05,scattered clouds,18.4313,-65.8802,Puerto Rico Vacation Villas at Aquatika
547,Cairns,AU,80.06,light rain,-16.9167,145.7667,Mantra Trilogy Cairns
550,Douentza,ML,85.57,scattered clouds,14.9951,-2.9517,Ogomono Doumbo
551,Dingle,PH,80.02,clear sky,10.9995,122.6711,SEGAYA PROPERTY
553,Yenagoa,NG,78.08,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
556,San Antero,CO,75.78,overcast clouds,9.3741,-75.7589,Villamarina Inn chale
557,Thanyaburi,TH,84.97,few clouds,14.0211,100.7343,Hotel RIDE 'n Lazy @ Thai Wake Park
558,Harper,LR,80.04,moderate rain,4.375,-7.7169,Screensaver
559,Loubomo,CG,73.89,overcast clouds,-4.1997,12.6739,La Dolisienne
560,Libreville,GA,79.5,moderate rain,0.3925,9.4537,Le Méridien Re-Ndama
563,Waghai,IN,82.04,few clouds,20.7667,73.4833,Kilad Eco Tourism
565,Araceli,PH,83.37,overcast clouds,10.5529,119.9913,JBryan Traveler's Inn
566,Dong Xoai,VN,74.73,overcast clouds,11.5333,106.9167,Khách Sạn Bình Phước - Khách Sạn Ngọc Lan
567,Cayenne,GF,73.44,light rain,4.9333,-52.3333,Hôtel Le Dronmi
570,Sokoni,TZ,80.29,light rain,-6.4333,39.55,Ujamaa Beach Resort
574,Bamnet Narong,TH,79.03,broken clouds,15.4992,101.6897,Jong Jaroen Resort
575,Vao,NC,74.61,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
576,Benghazi,LY,72.88,broken clouds,32.1167,20.0667,Tibesti Hotel
578,Fare,PF,78.75,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
579,Marawi,PH,71.49,overcast clouds,7.9986,124.2928,Derogongan Residence
581,Sinnamary,GF,76.66,moderate rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
582,Port Hedland,AU,73.45,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
585,Ler,SS,77.83,overcast clouds,8.3018,30.1418,Leer Humanitarian Hub
586,Batticaloa,LK,79.12,broken clouds,7.7102,81.6924,Grand Star Guest House
587,Kamir,PK,75.16,scattered clouds,30.4333,73.05,Ali Furniture Mart
593,Katherine,AU,75.52,clear sky,-14.4667,132.2667,Pine Tree Motel
594,Sao Joao Da Barra,BR,73.56,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
596,Mehran,IR,70.41,clear sky,33.1222,46.1646,بوتیک زنانه بهار
608,Maceio,BR,76.44,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
609,Palu,ID,76.96,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
615,Gladstone,AU,73.33,overcast clouds,-23.85,151.25,Highpoint International Hotel
621,Crato,BR,80.31,clear sky,-7.2342,-39.4094,Flats Grangeiro
622,Bela,IN,85.51,overcast clouds,25.9333,81.9833,Raj Bhawan
623,Grand Island,US,72.61,overcast clouds,40.925,-98.342,Fairfield Inn & Suites by Marriott Grand Island
624,Sumenep,ID,79.59,overcast clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
626,Puerto Carreno,CO,82.38,moderate rain,6.189,-67.4859,Casa Hotel Victoria
628,Mount Isa,AU,76.77,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
630,Kangaba,ML,87.62,scattered clouds,11.9333,-8.4167,CAF (case de l´amitié et de la fraternité)
631,Teluk Nibung,ID,74.5,overcast clouds,3.001,99.8164,Hotel Assyifa
634,Ha Tinh,VN,71.11,few clouds,18.3333,105.9,Phú Quý
638,Kaeo,NZ,71.33,scattered clouds,-35.1,173.7833,Bushido Lodge
639,Sao Felix Do Xingu,BR,72.77,heavy intensity rain,-6.6447,-51.995,Rio Xingu Camping
640,Brandon,US,82.27,scattered clouds,27.9378,-82.2859,Embassy Suites by Hilton Tampa Brandon
644,Sambava,MG,74.14,overcast clouds,-14.2667,50.1667,Melrose
645,Tuy Hoa,VN,74.86,broken clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
646,Bowling Green,US,72.34,overcast clouds,36.9903,-86.4436,Hilton Garden Inn Bowling Green
647,Awjilah,LY,70.9,broken clouds,29.1081,21.2869,المنزل
648,Malangwa,NP,79.59,few clouds,26.8568,85.5581,Prem Meat House
652,Lahaina,US,79.84,scattered clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
654,Sibolga,ID,76.44,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
655,Independencia,BR,73.83,broken clouds,-5.3964,-40.3086,Pousada Santa Cruz
656,Ternate,ID,81.37,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
660,Salta,AR,72.19,few clouds,-24.7859,-65.4117,Hotel Alejandro I
661,Ormara,PK,78.76,clear sky,25.2088,64.6357,Kenara Colony house for Rent
663,Quelimane,MZ,78.75,broken clouds,-17.8786,36.8883,Hotel Flamingo
664,Odweyne,SO,79.3,broken clouds,9.4092,45.064,Eng Hiirey House
668,Progreso,MX,89.11,scattered clouds,21.2833,-89.6667,Playa Linda Hotel
671,Iberia,US,83.05,broken clouds,29.9502,-91.7507,back to back rv park
676,Kalmunai,LK,78.73,overcast clouds,7.4167,81.8167,VS Villa
678,Guymon,US,87.48,clear sky,36.6828,-101.4816,Simple Rewards
679,Auki,SB,85.84,overcast clouds,-8.7676,160.7034,Auki Motel
681,Tautira,PF,78.22,light rain,-17.7333,-149.15,Pension Oaoa
682,Port-Gentil,GA,80.56,scattered clouds,-0.7193,8.7815,Fengshui Residence
683,Bull Savanna,JM,77.61,scattered clouds,17.8868,-77.5902,Big Red's
684,Humberto De Campos,BR,75.92,scattered clouds,-2.5983,-43.4611,Pousada do Cabeça
685,Quatre Cocos,MU,77.11,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
