City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
126,Padang,ID,-0.9492,100.3543,77.67,83,97,4.14,overcast clouds
127,Constitucion,CL,-35.3333,-72.4167,50.61,86,100,8.03,light rain
128,Tura,IN,25.5198,90.2201,68.07,90,2,4.94,light rain
129,Kavieng,PG,-2.5744,150.7967,85.19,66,88,14.7,overcast clouds
130,Ponta Do Sol,PT,32.6667,-17.1,62.01,70,64,11.79,broken clouds
131,Liwale,TZ,-9.7667,37.9333,68.04,94,48,4.0,scattered clouds
132,Rocha,UY,-34.4833,-54.3333,54.52,70,36,5.35,scattered clouds
133,Xingyi,CN,24.1877,102.817,51.67,96,0,3.49,clear sky
134,Limuru,KE,-1.1,36.65,59.99,94,100,2.73,light rain
135,Talcahuano,CL,-36.7167,-73.1167,51.48,100,100,14.97,heavy intensity rain
136,Scarborough,GB,54.2797,-0.4044,47.34,90,57,4.0,broken clouds
137,La Brea,HN,15.8,-85.9667,83.71,70,40,8.05,scattered clouds
138,Yabrud,SY,33.9674,36.6574,52.7,35,48,2.06,scattered clouds
139,Severo-Kurilsk,RU,50.6789,156.125,35.74,97,84,6.22,broken clouds
140,Mercedes,AR,-34.6515,-59.4307,62.85,38,62,4.36,broken clouds
141,Sao Filipe,CV,14.8961,-24.4956,72.93,78,99,4.14,overcast clouds
142,Kiri Buru,IN,22.0833,85.35,73.04,77,5,1.79,clear sky
143,Atar,MR,20.5169,-13.0499,76.6,13,44,9.01,scattered clouds
144,Meadow Lake,US,34.8014,-106.5436,83.86,7,0,8.63,clear sky
145,Ialibu,PG,-6.2821,143.9935,62.31,91,100,0.2,overcast clouds
146,Cowansville,CA,45.2001,-72.7491,52.95,67,100,11.5,light rain
147,Tairua,NZ,-37.0167,175.85,65.12,97,100,1.48,overcast clouds
148,Vila,PT,42.0304,-8.1588,40.08,92,100,4.5,light rain
149,Sarmanovo,RU,55.2553,52.5891,30.88,80,98,9.46,overcast clouds
150,Okitipupa,NG,6.5047,4.7839,76.89,95,89,2.53,overcast clouds
151,Skibbereen,IE,51.55,-9.2667,55.11,87,50,16.51,scattered clouds
152,Port Alfred,ZA,-33.5906,26.891,68.85,72,55,9.15,broken clouds
153,Vila Velha,BR,-20.3297,-40.2925,76.95,86,0,3.44,clear sky
154,Tilichiki,RU,60.4667,166.1,20.61,84,100,6.8,overcast clouds
155,Saint-Philippe,RE,-21.3585,55.7679,76.59,88,75,10.87,light rain
156,Denpasar,ID,-8.65,115.2167,78.46,94,20,1.14,few clouds
157,Barrow,US,71.2906,-156.7887,12.22,73,0,21.85,clear sky
158,Okhotsk,RU,59.3833,143.3,25.41,90,99,3.78,overcast clouds
159,San Quintin,MX,30.4833,-115.95,63.97,64,52,18.19,broken clouds
160,Itabera,BR,-23.8619,-49.1372,65.52,81,8,1.3,clear sky
161,Hermanus,ZA,-34.4187,19.2345,55.8,88,44,4.03,scattered clouds
162,Guiberoua,CI,6.2392,-6.1727,75.63,87,100,3.13,overcast clouds
163,Roma,US,43.2128,-75.4557,55.81,80,100,9.22,overcast clouds
164,Touros,BR,-5.1989,-35.4608,80.06,81,83,10.89,broken clouds
165,Coihaique,CL,-45.5752,-72.0662,47.01,100,100,3.58,overcast clouds
166,Teya,RU,60.3778,92.6267,31.08,98,100,2.8,light snow
167,Rio Grande,BR,-32.035,-52.0986,66.31,77,41,8.39,scattered clouds
168,Suicheng,CN,33.8963,117.9331,64.81,77,9,5.82,clear sky
169,Cidreira,BR,-30.1811,-50.2056,67.75,86,44,8.86,scattered clouds
170,Vardo,NO,70.3705,31.1107,38.05,97,95,12.06,light rain
171,Mocuba,MZ,-16.8392,36.9856,69.58,99,99,3.76,overcast clouds
172,Ahipara,NZ,-35.1667,173.1667,70.02,79,40,15.59,scattered clouds
173,Kyela,TZ,-9.5833,33.85,70.29,94,98,3.53,light rain
174,Tynda,RU,55.1667,124.7167,20.57,70,75,2.08,broken clouds
175,Ishigaki,JP,24.3448,124.1572,75.33,100,6,1.14,clear sky
176,Mahebourg,MU,-20.4081,57.7,78.26,88,75,10.36,broken clouds
177,Puerto Narino,CO,-3.7703,-70.3831,73.89,96,71,2.57,broken clouds
178,Meulaboh,ID,4.1363,96.1285,77.45,86,100,3.96,overcast clouds
179,La Ronge,CA,55.1001,-105.2842,44.82,26,40,8.05,scattered clouds
180,Carnarvon,AU,-24.8667,113.6333,64.47,72,52,8.05,broken clouds
181,Namatanai,PG,-3.6667,152.4333,84.76,66,64,9.57,broken clouds
182,Kisangani,CD,0.5167,25.2,70.72,92,59,2.17,broken clouds
183,Laguna,US,38.421,-121.4238,64.53,77,75,11.5,broken clouds
184,Bluff,NZ,-46.6,168.3333,47.8,63,99,19.82,overcast clouds
185,Avera,US,33.194,-82.5271,77.05,61,26,4.07,scattered clouds
186,Lagoa,PT,39.05,-27.9833,56.21,66,100,22.03,overcast clouds
187,Maniitsoq,GL,65.4167,-52.9,32.14,98,100,29.86,snow
188,Krasnoturansk,RU,54.3186,91.5639,39.33,73,99,12.59,overcast clouds
189,Yulara,AU,-25.2406,130.9889,58.84,44,3,9.22,clear sky
190,Severnyy,RU,50.677,36.5532,42.84,70,0,6.71,clear sky
191,Lujan,AR,-34.5703,-59.105,64.94,83,52,3.74,broken clouds
192,Lanzhou,CN,36.0564,103.7922,55.96,39,100,2.55,moderate rain
193,Bengkulu,ID,-3.8004,102.2655,76.57,85,100,6.31,overcast clouds
194,High Level,CA,58.5169,-117.136,41.11,38,75,8.05,broken clouds
195,Bell Ville,AR,-32.6259,-62.6887,64.67,57,62,5.59,broken clouds
196,Luhyny,UA,51.082,28.4006,38.08,97,97,9.15,light rain
197,Puerto Colombia,CO,10.9878,-74.9547,86.09,80,74,12.24,broken clouds
198,Khatanga,RU,71.9667,102.5,1.99,96,85,6.87,overcast clouds
199,Cabo San Lucas,MX,22.8909,-109.9124,80.51,59,2,7.0,clear sky
200,Huilong,CN,31.8111,121.655,62.92,84,91,8.99,overcast clouds
201,Urucara,BR,-2.5364,-57.76,74.52,96,83,4.81,light rain
202,Naze,JP,28.3667,129.4833,65.32,78,82,1.99,broken clouds
203,Paamiut,GL,61.994,-49.6678,32.61,95,100,22.46,overcast clouds
204,Marystown,CA,47.1666,-55.1483,39.85,100,26,7.54,scattered clouds
205,Berlevag,NO,70.8578,29.0864,37.4,98,100,14.56,light rain
206,Ukiah,US,39.1502,-123.2078,56.16,75,75,11.5,broken clouds
207,Coquimbo,CL,-29.9533,-71.3436,58.73,88,20,12.66,few clouds
208,Puerto Ayora,EC,-0.7393,-90.3518,76.96,86,39,8.81,scattered clouds
209,Kutum,SD,14.2,24.6667,75.56,16,62,5.99,broken clouds
210,Victoria Point,AU,-27.5833,153.3,74.17,78,78,5.01,broken clouds
211,Awbari,LY,26.5921,12.7805,81.55,12,64,12.95,broken clouds
212,Tuatapere,NZ,-46.1333,167.6833,47.95,79,97,12.84,overcast clouds
213,Akyab,MM,20.15,92.9,79.97,80,29,3.94,scattered clouds
214,Ribeira Grande,PT,38.5167,-28.7,57.27,68,100,17.31,overcast clouds
215,Lorengau,PG,-2.0226,147.2712,84.76,68,60,10.69,broken clouds
216,Shingu,JP,33.7333,135.9833,66.85,79,25,2.3,scattered clouds
217,Guatire,VE,10.4762,-66.5427,79.2,93,89,3.58,overcast clouds
218,Paranaiba,BR,-19.6772,-51.1908,74.82,46,36,1.88,scattered clouds
219,Christchurch,NZ,-43.5333,172.6333,59.2,80,40,16.11,scattered clouds
220,Asau,RO,46.4333,26.4,39.96,77,26,5.46,scattered clouds
221,Apastovo,RU,55.2029,48.5109,36.43,82,100,9.19,overcast clouds
222,Sorland,NO,67.667,12.6934,42.15,80,85,8.19,overcast clouds
223,Luanda,AO,-8.8368,13.2343,76.93,90,100,5.7,overcast clouds
224,Pevek,RU,69.7008,170.3133,19.96,89,22,10.33,few clouds
225,Hofn,IS,64.2539,-15.2082,45.81,86,3,7.27,clear sky
226,Kieta,PG,-6.2167,155.6333,84.16,72,60,2.15,broken clouds
227,Zhangye,CN,38.9342,100.4517,52.02,21,100,7.7,overcast clouds
228,Pavlovka,RU,52.6897,47.1405,45.43,90,100,9.82,overcast clouds
229,Inuvik,CA,68.3499,-133.7218,13.06,62,20,8.05,few clouds
230,Sorong,ID,-0.8833,131.25,79.48,83,100,6.51,overcast clouds
231,Zaton,RU,53.2936,83.8072,38.79,93,75,11.18,broken clouds
232,Cardoso,BR,-20.0819,-49.9142,74.21,50,17,4.99,few clouds
233,Saint-Pierre,RE,-21.3393,55.4781,76.68,85,0,12.66,clear sky
234,Makakilo City,US,21.3469,-158.0858,82.72,59,40,13.8,scattered clouds
235,Saint George,US,37.1041,-113.5841,84.79,10,0,27.63,clear sky
236,Ust-Nera,RU,64.5667,143.2,17.83,92,99,3.4,overcast clouds
237,Yushu,CN,44.8,126.5333,39.11,91,100,13.96,overcast clouds
238,Bairiki,KI,1.3292,172.9752,84.2,79,40,12.66,light rain
239,Wellington,NZ,-41.2866,174.7756,68.05,80,75,10.36,broken clouds
240,Snezhnogorsk,RU,69.1933,33.2531,35.38,92,99,4.85,overcast clouds
241,Forbes,AU,-33.3833,148.0167,63.28,61,70,12.93,broken clouds
242,Hervey Bay,AU,-25.2986,152.8535,74.01,74,95,7.0,overcast clouds
243,Tayu,ID,-6.5397,111.0518,76.01,90,100,5.08,overcast clouds
244,Emerald,AU,-23.5333,148.1667,68.14,100,100,5.75,overcast clouds
245,Hong Gai,VN,20.956,107.0946,73.31,95,96,2.93,overcast clouds
246,Marsa Matruh,EG,31.3525,27.2453,59.56,69,92,9.98,overcast clouds
247,Drochtersen,DE,53.7102,9.3846,47.25,92,64,8.3,broken clouds
248,Umea,SE,63.8284,20.2597,39.9,87,0,4.61,clear sky
249,Bombay,IN,19.0144,72.8479,85.98,70,65,0.0,haze
250,Otjiwarongo,NA,-20.4637,16.6477,58.39,50,0,8.59,clear sky
251,Portobelo,PA,9.55,-79.65,84.72,74,18,6.08,few clouds
252,Oksfjord,NO,70.2396,22.3479,37.99,98,100,8.99,overcast clouds
253,Ahuimanu,US,21.4447,-157.8378,83.91,68,75,13.8,broken clouds
254,Vila Franca Do Campo,PT,37.7167,-25.4333,57.61,68,100,16.96,overcast clouds
255,Tahta,EG,26.7693,31.5021,69.19,25,71,7.99,broken clouds
256,Upernavik,GL,72.7868,-56.1549,12.34,86,100,10.96,overcast clouds
257,Fairbanks,US,64.8378,-147.7164,46.49,38,0,0.0,clear sky
